ES-A,RC-A,PB-A,SMM5-A,SMLRE-A,SMLR-A,CAWPE-A,MV-A,NBC-A,WMV-A
54.0 ,5.0,6.0,21.0,9.0,5.0,34.0,5.0,34.0,5.0
47.0 ,5.0,7.0,25.0,13.0,9.0,36.0,5.0,37.0,4.0
39.0 ,4.0,5.0,27.0,9.0,8.0,33.0,5.0,33.0,5.0
47.0 ,7.0,6.0,30.0,9.0,8.0,34.0,5.0,35.0,13.0
47.0 ,7.0,5.0,21.0,9.0,7.0,30.0,5.0,30.0,31.0
32.0 ,5.0,5.0,22.0,10.0,9.0,36.0,5.0,36.0,36.0
47.0 ,5.0,7.0,21.0,8.0,8.0,41.0,5.0,40.0,41.0
47.0 ,5.0,8.0,21.0,9.0,9.0,34.0,6.0,34.0,34.0
46.0 ,7.0,5.0,25.0,11.0,9.0,35.0,6.0,35.0,35.0
47.0 ,6.0,5.0,25.0,10.0,9.0,39.0,6.0,39.0,39.0
47.0 ,5.0,5.0,22.0,9.0,10.0,36.0,5.0,36.0,36.0
47.0 ,5.0,5.0,21.0,14.0,7.0,37.0,6.0,36.0,36.0
47.0 ,5.0,4.0,25.0,10.0,8.0,36.0,6.0,36.0,36.0
47.0 ,5.0,5.0,22.0,9.0,6.0,43.0,5.0,43.0,43.0
32.0 ,5.0,7.0,21.0,12.0,6.0,40.0,5.0,40.0,39.0
47.0 ,6.0,5.0,22.0,9.0,6.0,38.0,5.0,37.0,37.0
47.0 ,5.0,5.0,22.0,9.0,6.0,35.0,5.0,35.0,35.0
46.0 ,7.0,5.0,22.0,10.0,6.0,39.0,6.0,39.0,39.0
49.0 ,4.0,5.0,22.0,11.0,7.0,34.0,6.0,34.0,34.0
31.0 ,6.0,7.0,26.0,10.0,6.0,36.0,4.0,35.0,36.0
37.0 ,6.0,4.0,21.0,9.0,7.0,33.0,6.0,34.0,36.0
