TRAINTESTDIFFSBALACCSTDDEVS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_pb,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
monks-3,0.014429881903701662,0.01418499251382213,0.013655575702783912,0.013656676668737917,0.013349161262817088,0.014567105679039625,0.014478808387625778,0.01425594346384657,0.013600233158762702,0.014387859890333797,0.037644576544196506,0.014773470408635782,0.017197230872445762,0.018374625534812453,0.021064847162057775,0.02204924975633245,0.026309930062895778
mushroom,4.119336125996296E-4,4.940991802642399E-4,6.03692534496334E-4,0.0012584053259581244,0.001315491938522532,0.001535951225274311,0.0016254980080272622,0.0019028050383821,0.0020274742373832632,0.0021422604582094777,0.005415060951449768,0.002220586374702023,0.0023536642074344426,0.0024198354279748157,0.0024927231014925115,0.0026400156442472743,0.0027479994498760055
musk-1,0.02957842706378557,0.029401314083154308,0.02908918865102893,0.030182657607257562,0.028505943387776705,0.02876742287225909,0.03075969114752945,0.0296824523821577,0.030417828210497773,0.030101794427401917,0.038989385789810045,0.03038790075423639,0.029834081969737733,0.02865753432474141,0.02701968854084763,0.026478945900928915,0.02533679086964517
musk-2,0.012901867453267778,0.013026301527713238,0.01278325230614987,0.012526731108379313,0.012489502628722789,0.012344561577083435,0.01247830843590219,0.012800493260182816,0.012639572244560448,0.013185079186012905,0.017703856002042564,0.01327315451249629,0.013121478961165008,0.01360410811724234,0.013999823493868623,0.014133021751185958,0.014472804675115209
nursery,0.013047346682829112,0.014554442823429863,0.015618251317182674,0.015843488869725347,0.016340337686521815,0.015079296261902705,0.015368651572963413,0.015841841054521025,0.015409982897864901,0.015795802306144566,0.10238245139968367,0.015887704636222657,0.016444092371525987,0.016106847107011754,0.016034129719795558,0.0159420712674793,0.016175257355249807
oocytes_merluccius_nucleus_4d,0.030440260167035733,0.030377507021856685,0.031206506816262383,0.030330880997057226,0.029999482714774362,0.030565363938256068,0.028764075458386336,0.027926618877446466,0.02846836793818273,0.028852678655025384,0.03079071120094619,0.02813648720316191,0.02832206484833368,0.026541461166315027,0.02487209198994218,0.027784138432414444,0.02879242925884077
oocytes_merluccius_states_2f,0.037648336165729435,0.037652526885306105,0.036628217863463035,0.03726749201541959,0.03791332139812494,0.03948213883054877,0.03988875629450868,0.03831550889110257,0.038554233838181094,0.04005938131719686,0.041855375827616,0.04013392755579261,0.04003217335174588,0.03973352693364685,0.04044964719938874,0.041205125364361814,0.03993401392689358
oocytes_trisopterus_nucleus_2f,0.02791382971807299,0.027492493224597913,0.02833785482003923,0.028598827460034334,0.02713799557986406,0.027229219936959856,0.028519163695853028,0.028579386703180203,0.028584394073628314,0.028162947476319068,0.026415298646619505,0.027636570630909536,0.02620222199360438,0.026912508951625537,0.026629516225248027,0.0272016070595939,0.027215405055901216
oocytes_trisopterus_states_5b,0.05855466941925613,0.05897365395648275,0.05820928911029269,0.05850755891047628,0.05718116360017845,0.05668233754904765,0.059464345289817006,0.05940036338417982,0.05948639731941926,0.059138488389700164,0.07561434575914834,0.058931625279959335,0.058870533166991104,0.05823643957929144,0.058137222053778866,0.05750063514198813,0.0579402860032739
optical,0.002651351997783156,0.0025772237995000543,0.0025827568805702767,0.002645895835524845,0.002521231294228882,0.0025390350322849983,0.0024994769349252553,0.0024663774867234095,0.00241039941005804,0.002458826807656745,0.0044965922310254616,0.002380604624606712,0.0025209026497639443,0.002616740576199239,0.002544864024041955,0.0025692826700451543,0.0024796663054294375
ozone,0.03161167727543362,0.03161648811444025,0.032338023336701,0.03233736199336449,0.032339389081620505,0.03248830686610085,0.03283753166738592,0.03297593637438777,0.03294603761952433,0.0324485208651204,0.04856461216944331,0.031446986743993655,0.03170069536950505,0.03171429648968885,0.03188392386507071,0.03270676873954297,0.032929009019839944
page-blocks,0.043326775111004696,0.043703742426371706,0.04494370268760264,0.045494003271407756,0.04555362928108176,0.046207631030187615,0.04647724225386015,0.04606824194179222,0.04397828996212662,0.04400332676932994,0.03850126939155072,0.04414804292770967,0.04476159005360337,0.04435769802139245,0.04293017263618498,0.043144569834869244,0.04305865837856541
parkinsons,0.061214425480054,0.06239479562336877,0.0626768080422607,0.06432528688534861,0.0634380045410782,0.06523961582410337,0.06861014549731637,0.07117546406283103,0.07232888947768805,0.07048094716215444,0.08071504259420181,0.07056508260254332,0.07952214670228876,0.08433897668327611,0.07877037312157056,0.08097215710012803,0.08187606520073872
pendigits,0.0017509165427704544,0.001771214375979899,0.0018553551979798707,0.0019168522591203416,0.001900638286431784,0.001962892182509095,0.002022132457946678,0.0019684072846593522,0.0019275494269648476,0.0019714304260651815,0.002200914954487595,0.002011034663540069,0.002066831622555921,0.0021717567276523524,0.0021668840805538704,0.0020458765752710637,0.0020765630819600876
pima,0.02828299882025305,0.02873578830805921,0.02859580584179885,0.028542592437304507,0.028441783918214576,0.028608540951774227,0.029377551493826537,0.02928700354899523,0.0292143263267703,0.029232748977651712,0.02662552528923829,0.029324712639732606,0.029893360969674702,0.03037555032262182,0.030484941675915225,0.030776084359612696,0.030396043995155962
pittsburg-bridges-MATERIAL,0.1488856129972669,0.15132709204107964,0.15241996830552418,0.15236602238681188,0.14012972136140955,0.1474756771982005,0.1449518773967558,0.14138301140760418,0.13754069577675143,0.13864097365558203,0.12255348770882075,0.1331635825930703,0.13441448994779942,0.13041758180229535,0.1280864016192319,0.12597282520586356,0.1250508136827674
