RandF,CAWPE,AdaBoost,XGBoost,LogitBoost,Bagging
5420.644099 ,3353.54047,16.426551,1466.025416,4346.656131,172.407738
5641.078376 ,3714.961621,30.40059,1433.919386,4260.406594,174.015819
6561.350418 ,2816.641233,28.13157,1414.017231,4031.585008,177.265697
5019.814174 ,3172.523457,33.168272,1456.260121,4039.971977,161.705876
5268.805177 ,5724.513721,20.615662,1445.589562,4030.875781,182.683754
2891.466052 ,5173.860834,17.272416,1455.392892,4178.636388,185.53739
2840.776335 ,4950.221686,14.01464,1464.09664,4278.205563,185.388761
3622.874963 ,4636.468193,17.691564,1443.607393,4226.361583,167.259603
3488.054862 ,4959.301645,21.922639,1450.783189,4121.986838,173.571464
2877.626783 ,4970.193415,56.360024,1697.105447,4184.737712,164.799634
5524.672492 ,6033.392719,32.56558,1427.552794,4089.763525,160.042968
4446.722645 ,3508.416141,19.859638,1446.668419,4259.095455,180.86846
6041.564947 ,3575.551691,26.7935,1459.089772,4150.63842,182.835218
4927.206455 ,3531.36118,28.494033,1470.995956,4096.248872,176.675803
5540.668309 ,2939.589465,45.887088,1649.029663,4105.177727,172.201539
5558.594161 ,3873.465423,13.405411,1643.983054,4049.063889,172.263241
5949.444405 ,3440.26321,16.431383,1502.747731,4100.330669,189.610638
5376.439841 ,3414.96723,17.037038,1435.749419,4131.380836,169.774513
523.079433 ,505.718846,25.530696,198.501743,209.125156,15.268414
531.670139 ,576.62208,29.026259,176.201237,68.930064,20.314818
751.20137 ,555.819868,25.650788,181.967814,57.916214,20.948041
780.507143 ,618.167785,47.113974,171.096844,53.421342,23.460246
696.999651 ,521.492754,52.610988,173.996469,62.931131,19.633364
1143.087357 ,433.96205,16.156777,170.03603,64.381798,58.652963
874.21852 ,645.31002,15.277733,175.986684,47.385595,27.411072
713.362134 ,314.728644,37.643878,173.258945,38.494593,28.947771
1070.336233 ,350.271307,9.724123,169.315817,44.966272000000004,20.757447
680.295355 ,243.861673,74.133578,177.493182,33.678625,49.560749
881.011798 ,280.335684,33.675491,166.519569,23.390839,14.473415
1028.815056 ,293.826192,26.487555,174.970731,32.85016,15.543416
1029.018426 ,216.603189,26.364193,175.946456,18.31887,14.272207
804.158953 ,249.809743,23.908358,189.029508,19.302397,15.449307
677.805235 ,251.353389,25.942493,166.061207,19.637636,16.277102
890.78851 ,265.524058,30.216357,165.575539,21.864591,18.512215
886.588283 ,300.718524,53.05169,176.400429,24.699365,17.325672
807.586847 ,273.620901,28.288954,187.900183,21.471815,28.156413
910.797246 ,325.906477,60.539108,172.191305,17.49772,24.137853
1006.147303 ,527.458353,49.5384,166.532002,16.916234,15.59898
891.514508 ,515.636173,37.008355,181.74351,16.989377,16.171042
749.79239 ,392.056663,10.230607,216.114771,17.599145,27.305341
772.404171 ,532.676221,39.282594,176.308756,16.023648,28.763581
745.738971 ,399.063335,12.414945,173.038298,15.819579,19.385402
710.754049 ,543.953207,23.836457,185.390897,16.070459,18.927486000000002
934.909202 ,390.60899,39.889034,171.121225,15.817872,29.096609
1229.587323 ,545.900598,39.340288,215.450635,15.943678,17.723381
851.36547 ,456.304651,25.48524,202.775477,17.562573,30.142488
794.766162 ,557.679138,9.800106,172.828866,15.694505,31.25726
1017.326204 ,435.45247,21.608978,184.147958,16.167252,21.393615
48581.003635 ,56027.707354,1867.308651,5212.505907,38906.614437,4035.243911
43078.631394 ,50669.338806,1886.034973,4739.863994,36288.587339,4194.579275
42187.778428 ,52139.002853,2119.631505,4747.97236,36394.205214,4054.652532
43560.733437 ,52813.428815,2064.108855,4763.011981,36158.222603,4189.861728
43250.558862 ,47657.33564,2046.252815,4915.388171,35269.797933,4166.473612
39286.282497 ,51000.514057,2099.049183,4717.891166,35156.837143,3911.34556
43298.096388 ,53687.859063,2094.150346,4759.730064,36219.053258,4061.763442
47498.254528 ,48867.163011,2110.126109,4785.327604,38836.182578,4303.482196
45791.438282 ,48005.636095,2129.51668,4767.693607,36052.948215,4044.617153
56499.271159 ,56377.940895,2088.884515,4749.158005,36252.512658,4249.599018
49393.727568 ,49025.965742,1898.43678,4773.95268,36438.089653,4637.71989
44275.37119 ,50079.229415,1984.487878,5531.231242,35819.365314,4074.410295
43593.740596 ,49533.849477,1970.708836,4780.827859,37057.121566,4157.542692
42626.851267 ,50482.882712,1876.924183,4747.179248,37443.032107,4829.75015
45713.996013 ,52514.779853,2055.407877,4769.902764,42117.669604,5376.662153
42741.550785 ,49788.087155,2058.886041,4755.677709,42564.844895,5355.861044
43546.794579 ,50547.762793,2069.295634,4762.009681,42913.646596,5232.325542
39637.545174 ,53513.218563,2060.121576,4788.246489,41596.101907,5280.579284
36682.584251 ,51197.056141,2049.03328,4762.502176,42132.737067,5158.87325
38307.445348 ,57391.645401,2059.281002,4743.908546,37678.708863,5436.048894
37828.42755 ,62969.562666,2078.820898,4765.076559,35064.504766,5133.095108
37432.762916 ,57079.627791,2064.015566,5489.534242,35557.86359,5187.455773
39309.331217 ,52274.313049,1845.270753,4713.752991,36840.558808,5367.596668
38441.015552 ,51074.035593,2130.583208,4773.229786,36157.456464,5352.267609
37881.942658 ,52210.762096,2139.520449,4782.644483,37031.106598,4102.84807
36006.325255 ,51864.786637,2017.392255,4734.353659,40113.734612,3976.50014
36800.814066 ,52074.297135,2109.853736,5323.912866,36029.615525,4029.068255
37783.822191 ,47632.811232,2052.232886,5435.313,36103.97266,4577.124397
38229.988471 ,50415.036456,2111.688857,4872.437259,37032.671515,4428.23983
33704.424233 ,46861.591966,1885.350622,4778.152784,35967.090141,4342.281818
4869.355825 ,2496.813179,124.25826,1393.067916,3946.331661,273.161799
7567.877009 ,2662.553372,127.277084,1055.510505,3953.612559,268.445761
7688.433345 ,2754.855446,141.601182,1077.498205,3977.770369,250.136173
7570.507696 ,2570.349448,144.780953,1078.297899,3759.936327,233.316021
8211.650405 ,2855.024989,146.674698,1073.674055,3725.964257,266.849663
7772.038825 ,2653.5205,133.341067,1070.406766,3912.12759,245.573011
8011.984215 ,2575.269541,148.387948,1074.550793,3717.206009,240.24349
7424.886064 ,2758.586173,135.731293,1241.903215,3701.682583,241.222859
7876.795402 ,4835.853134,137.029825,1077.54014,3874.495708,247.512222
8022.858415 ,4452.474055,177.737629,1066.630891,3811.754565,251.312634
7810.113666 ,4334.152197,148.473579,1093.665688,3810.117924,274.943915
7753.451225 ,3812.94978,130.455798,1071.853043,3727.15816,296.071276
7230.782183 ,4600.741678,128.82148,1093.887067,3746.807424,255.256339
7465.036842 ,4559.823438,122.214465,1083.296721,3901.56575,315.876867
7639.590931 ,4333.185923,144.873503,1058.580551,3969.381112,328.692742
7121.658527 ,4421.319132,129.791622,1095.447446,3832.469255,346.999239
7556.108232 ,5236.735794,130.649543,1103.320293,3872.712661,307.31152
7248.99835 ,5220.624471,127.078515,1093.778571,2738.542685,340.231544
7413.145802 ,4787.966021,123.251512,1078.225732,2916.464592,236.035853
6282.832068 ,5230.691215,125.523258,1070.823192,2911.714744,233.213088
7655.231074 ,4809.338226,128.458681,1071.079436,2946.832555,264.702419
7484.206909 ,5035.342588,131.712056,1298.424797,2820.460117,243.886853
7685.166536 ,4098.883935,135.377167,1084.344614,2779.144443,272.952433
7874.484483 ,4595.25703,141.499413,1064.381507,2909.988846,238.438491
