TRAINTESTDIFFSAUROC:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_pb,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
letter,-3.9251848215689314E-4,-3.914612005570639E-4,-3.907353596436976E-4,-3.8952986708581754E-4,-3.8881531764393127E-4,-3.880686396373845E-4,-3.870008565377336E-4,-3.854406080141833E-4,-3.83497465862089E-4,-3.8174344415680127E-4,-3.8130637699642647E-4,-4.770242779145432E-4,-3.8024516057413675E-4,-3.799768629484834E-4,-3.7910736993278883E-4,-3.8048568731998317E-4,-3.8187500048492883E-4
libras,-0.005519179894179859,-0.005544532627865917,-0.00552138447971778,-0.005537918871252201,-0.0056812169312169,-0.005761684303350952,-0.005774911816578457,-0.005758377425044048,-0.005788139329805919,-0.005800264550264541,-0.005966710758377403,-0.00852513227513226,-0.00613095238095234,-0.006267636684303365,-0.0063855820105819285,-0.006493606701939969,-0.00674933862433856
low-res-spect,-0.00564880244324328,-0.0056344858804954065,-0.0056133960548112,-0.005597540318019412,-0.0055701362111784,-0.00555260962423602,-0.005527668710001125,-0.005465907079443433,-0.005429989995254222,-0.005374578442119146,-0.005331150404871654,-0.006804343186868119,-0.005364863188175465,-0.005369978720913234,-0.005322358953906933,-0.005364237876546814,-0.0053964178464069425
lung-cancer,-0.019160295768138973,-0.020417376378160754,-0.020632930613322817,-0.022282894302502188,-0.02116386083052755,-0.021856671288043878,-0.023235624216016392,-0.023036904997689334,-0.0198967452300786,-0.016767940846372262,-0.01838185779362255,-0.09814306463326077,-0.020090380933518233,-0.025131049052617725,-0.02884690037631217,-0.038097511058295404,-0.061275764177725005
lymphography,-0.01542689536331492,-0.01584257576406661,-0.01590307440039889,-0.016514258282775175,-0.01738140233345598,-0.017754605198264852,-0.01819971148705495,-0.01936269718402882,-0.020229380811402648,-0.0213590095368013,-0.022338268159914305,-0.028973768243657997,-0.02286761540917178,-0.02329716978488866,-0.023720490096737924,-0.024549394213018754,-0.025488451176407703
magic,-0.0025407263089610053,-0.0025263852396302097,-0.0025102432514365687,-0.0024971550655160215,-0.002481614461359079,-0.0024666477586355318,-0.0024515517260110327,-0.0024362843312687897,-0.0024205982309740176,-0.002406572403275479,-0.0023880685277757625,-0.0015031820328695212,-0.002375882417910565,-0.0023591050965811157,-0.00234187512060026,-0.002328908181461664,-0.0023170518628421862
mammographic,-0.011219570284650097,-0.011250198472541802,-0.011290665469938644,-0.011335798724999947,-0.011342704160000069,-0.011365871033203405,-0.011350215060200475,-0.01134319479559338,-0.011365847545329282,-0.011365824057455098,-0.011419298117603482,-0.008746654674285296,-0.011363582270355681,-0.011393816383914417,-0.011421774783444383,-0.011433012426343325,-0.011424353230073276
miniboone,5.43825042603278E-4,5.596581885761435E-4,5.757633205990283E-4,5.920538731880957E-4,6.084994771698289E-4,6.250001383284834E-4,6.410705503398247E-4,6.566195332170325E-4,6.721352841285277E-4,6.874085896090361E-4,7.022360708108059E-4,-4.963994347117622E-4,7.168682647736365E-4,7.308314662313668E-4,7.449666678320328E-4,7.583915643099089E-4,7.716449184542729E-4
molec-biol-promoter,0.010239026739501608,0.009458121281483137,0.008489852625655159,0.008109715018546978,0.0075251688974386464,0.006318401095229254,0.005061444306458581,0.002907038092223317,1.2594594740846418E-4,-0.0022714236626866927,-0.0032298168575471188,0.03713281548039405,-0.00391386162991099,-0.005706054875095705,-0.006305820028517092,-0.008404626044702023,-0.011785483342938219
molec-biol-splice,-7.364872821899533E-4,-6.869879549839198E-4,-6.523091374027697E-4,-6.230507258051188E-4,-5.805575901995781E-4,-5.58132970244285E-4,-5.553374537897134E-4,-5.775222699430463E-4,-6.074092934334104E-4,-6.520700819850049E-4,-6.994494462772116E-4,-6.73383153271175E-4,-7.450236009101218E-4,-8.142046220163827E-4,-8.629368230837338E-4,-9.445128174336996E-4,-9.984726898200698E-4
