PB-A,CAWPE-A
-0.09429810422902762 ,-0.07738232294990266
0.05790604475729988 ,0.06801201714855898
0.08769464820236217 ,0.0665151913862485
-0.03893079175027114 ,-0.001359659221735865
0.0962120763571378 ,0.13611915178228817
0.016001556966328212 ,0.026289869850772862
0.11897514336151238 ,0.11438773943839609
-0.03126964025306156 ,0.04497483635406785
-0.08509950330581229 ,-0.05679550014802126
-0.21673366007697137 ,-0.03730014363562584
-0.11558671315636537 ,-0.1021433505476792
0.19411888863304994 ,0.1378993563808213
-0.14333700645812086 ,-0.040654090325976
0.12992725020010332 ,0.14365865157944413
0.0018099185333818602 ,0.007850838239970348
0.09828437661041911 ,0.08104771772858388
0.007369165487977725 ,0.007646733111849602
-0.09556204291525505 ,0.012951602469217227
-0.041586132035130396 ,-0.02427167965966015
-0.06708496431038424 ,0.04584969792660365
-0.04204170915430383 ,-0.026875047969913024
0.055408648838305985 ,0.08901055886319587
2.2465624887246793E-4 ,0.0015443237455943226
-0.008846704440193975 ,7.70808521900257E-4
-0.0018414594536069195 ,8.923093579703556E-4
-0.013262538044197414 ,-0.008304161102891006
0.007640116929517493 ,0.0015632706581496514
0.012821646396478203 ,0.010628917198985066
0.009649692638974305 ,0.005698208764902346
-9.921565796910947E-4 ,8.4960361855968E-4
0.0022188939814981046 ,-9.082488240885755E-5
0.0015196626848079653 ,-0.002765346999169749
-0.012172639455291345 ,-0.0035039758441902658
0.005358066572834552 ,0.003462773827998311
-0.004262453835697011 ,-0.006655779710563414
-0.004106668110240519 ,-0.005935195544167771
0.006735777785797814 ,0.006326765070314377
0.00797695093050399 ,0.00138913950942543
-0.008182660266820685 ,-0.0038170510183215267
-0.010548919123750222 ,-0.0060091787265266206
-0.006611269503289829 ,-0.007496661734454291
-0.003438413511855587 ,5.801364177702162E-4
-0.01220361615359633 ,-0.008324010249377456
-0.005214912122415094 ,-9.040383990758238E-4
0.008204013136526411 ,0.004652519638625674
-0.002785196145656643 ,-0.005396261142589065
0.007638312461655028 ,0.0032645831077746656
-0.005734899611438027 ,-0.003806224211147735
0.003229997473745305 ,-0.0030790236625891643
-0.0012844803734045618 ,-0.004164411081838737
-0.009368496397079262 ,-0.0027391822151648926
0.008980535806657475 ,0.0050212325718479445
-0.01167919909325954 ,-0.008123771974186011
-0.015711032127938562 ,-0.00653821965717738
0.013955821271687041 ,0.006848520091953136
0.01246827414924978 ,0.006472191988327047
0.010615354186627957 ,0.004972801337845056
-0.0042355417170512055 ,-0.005219442809379693
-0.0018469981985994588 ,-0.0019852713885233353
-0.021161719822394565 ,-0.012831574372026533
0.003806509913625078 ,0.0014913962690518145
0.017311092766802205 ,0.010684046649288237
-0.010886570978855925 ,-0.007695332347162354
0.014248356414395702 ,0.006091718649885225
-0.0054290732557740196 ,-0.006849112268355384
0.00476524350885843 ,0.0019766848306909113
0.019856266943647283 ,0.007634042089530002
-0.004343613910460564 ,0.0034574219245022686
-0.001960399979629046 ,8.035833778452517E-4
-0.010049825722484917 ,-0.006851184885763306
0.006027763598442704 ,0.0072067868153109504
0.008459832082459373 ,0.005302051417492626
-0.004326144706594426 ,-0.005261191245737873
0.008934461468858013 ,0.0036140525828958214
0.008033465072843748 ,0.006151528466511902
-0.001052889643189947 ,0.0020764665544690253
-0.01019431676463245 ,-0.005313894945537578
-0.01596033839328359 ,-0.014313791906843676
0.006023322275426013 ,0.0038287165287091973
-0.002680486484757827 ,-3.4375840150258075E-4
0.004127765611842582 ,0.0036110917008845833
0.01124691031962144 ,0.004514160714306881
0.09030892448512606 ,0.16935640732265456
-0.13432971014492712 ,-0.09845442410373728
-0.029628146453088977 ,-0.02880911517925233
0.055315598779557607 ,0.06492848970251741
-0.012725972540045483 ,-0.09028032036613243
-0.04450228832951897 ,-0.020981121281464232
-0.05822177726926003 ,-0.07775171624713939
-0.18507532418001493 ,-0.126892639206712
0.03862509534706349 ,-0.011341533180777907
-0.11585144927536195 ,-0.07704233409610939
0.04457475209763562 ,-0.02955949656750556
0.10484649122807033 ,0.012956712433257134
0.06759725400457672 ,0.1752116704805491
-0.13256864988558315 ,0.006696224256293237
-0.019350686498855407 ,0.05549961861174679
-0.07962147215865745 ,-0.006829710144927392
0.06112986270022913 ,0.06300438596491242
0.12904462242562953 ,0.15567601067887116
-0.09957951945080024 ,-0.15769355453851963
-0.12832665903890117 ,-0.06257627765064822
0.09835240274599555 ,0.08919908466819226
0.05191266209000789 ,0.12969298245614025
-0.10373188405797062 ,-0.04089816933638424
-0.03808066361556062 ,-0.10851639969488924
0.05976830663615573 ,0.01860507246376819
8.180778032038649E-4 ,0.03150743707093828
-0.04600305110602565 ,0.10998760488176984
0.017841342486651368 ,-5.158276125094563E-4
-0.1879691075514871 ,0.005801868802441046
0.004062738367658358 ,0.05705949656750586
-0.043605744814898206 ,-0.059676419262446156
