TRAINACCSTDDEVS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq,CAWPE_pb
letter,0.002268186783154207,0.002268186783154207,0.002268186783154207,0.002268186783154207,0.002268186783154207,0.002268186783154207,0.0021290976261935444,0.0020129533360073062,0.001976504675704697,0.001968992521977233,0.0021533443001802576,0.00218985351529456,0.002239971043493097,0.0024708399028281003,0.00271814799917696,0.003113347583068252,0.004038280309450443
libras,0.02606399106969336,0.02553597450734976,0.02528677579735359,0.02508959396389597,0.02565240684636617,0.0252165307152676,0.02557761832905818,0.026623528326207978,0.026280867166023184,0.02570421529039915,0.026186204889634624,0.02471348518966824,0.02656282997774988,0.025790331421575042,0.026288965214849094,0.025318322500431287,0.03351589004885583
low-res-spect,0.01211794626849994,0.012220941177744794,0.0115728733953913,0.011449662765801295,0.011663720355168135,0.011915514534049619,0.012461481346833635,0.012687720508090392,0.012806747310285943,0.012873536536689715,0.013007987988007693,0.013388478983600635,0.013557402294003961,0.013950695258220236,0.014323992728173498,0.014577352584910193,0.013867697014537106
lung-cancer,0.14579679345185514,0.14931089048652796,0.14931089048652796,0.14864221574440034,0.14999361416802962,0.14999361416802962,0.14479474176011817,0.14215994805197588,0.1437324035540268,0.148229224302835,0.14992548170293452,0.15336164989242482,0.15028283254365263,0.13778024963794244,0.14394549841314927,0.1539600717839002,0.15868231353352677
lymphography,0.035600689322294155,0.03657197205469412,0.03716577344479259,0.03768447112836813,0.037296124166841256,0.0356854097634497,0.034580329278868754,0.034940227561541644,0.03714255209079499,0.037339473285537515,0.03764151932177926,0.03852505722525054,0.038139614089151445,0.03863687013553214,0.03768447112836814,0.03835672672057808,0.03663090211556224
magic,0.003324861451850618,0.0033900925893399617,0.0033740824378197,0.0033993398519507807,0.003340962920860064,0.0032591534195792896,0.00333434299339374,0.0033751388390730786,0.003454899595162815,0.0033436228062909195,0.003228916400874531,0.0031505205392041873,0.0030530683508731187,0.003128197903977298,0.0031756970750122094,0.003166388711832832,0.003014316729101059
mammographic,0.01631024543048184,0.015777275233483854,0.015450252067611891,0.015306214826807869,0.015178568074739092,0.01541986996854198,0.01547461151475431,0.01560687006926359,0.016282693803446855,0.015698660980391497,0.0157715825487474,0.0157024739572474,0.015430057868451256,0.015754017154789753,0.015956493171417768,0.015768577247689382,0.018661856463221854
miniboone,0.0027239324989184895,0.002796331562641265,0.0028202331424742465,0.002879671906568475,0.00293428102001332,0.0029239194250791274,0.0029188599022140923,0.002922148088741831,0.0029274315864101135,0.0029201483967036027,0.0029124793368577088,0.002901145674473545,0.0029070143541129728,0.002904201945036171,0.0028603178656605153,0.0028406071294535254,0.0011051573218230403
molec-biol-promoter,0.05878352046659486,0.059097246356892855,0.058348027220180954,0.05912960575561328,0.06286155031975973,0.06400080340242525,0.061178906497956105,0.062198740034821724,0.06437497379340186,0.057522591512489465,0.05884134270653462,0.06137314776023904,0.061883564836044916,0.06095615857352344,0.060335839440999954,0.06088638272811035,0.06675757251730867
molec-biol-splice,0.007775385224705339,0.007822369986295506,0.0079596150169788,0.008194485251833717,0.00940225696471397,0.01041889072882172,0.009154698768721943,0.00824327966326039,0.007944824304548322,0.008025131316528126,0.007215886914637298,0.007760680583260486,0.007653382200363215,0.008337570837354718,0.00871052804743648,0.009319327513680994,0.010800274218736292
