TRAINTESTDIFFSNLLSTDDEVS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_pb,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
mammographic,0.06015349912544001,0.06024269469820921,0.06034078061424532,0.06044815570543254,0.06056534482950689,0.06069285123780929,0.06083108639641199,0.06098063495109937,0.15107848236610302,0.06114188780160127,0.06131542636127805,0.06150173961928586,0.06170132488453414,0.061914662789813626,0.06214218983392751,0.06238446439584935,0.06264186735170257
miniboone,0.0030730363565578743,0.0030743951945645808,0.00307593110929135,0.0030776533452334274,0.003079568544763699,0.0030816792341580293,0.0030839953009084687,0.003086521929278906,0.0037845072382502645,0.0030892692388616184,0.0030922369715373696,0.0030954391998487115,0.003098877737077573,0.0031025623406020736,0.003106495685908576,0.0031106880198272817,0.0031151407009223295
molec-biol-promoter,0.09867927866635283,0.0985041258396296,0.09842311083349853,0.09844438046171533,0.09857557674935248,0.09882402262235368,0.09919637445254062,0.09969872389223247,0.22826963786080723,0.1003365584705564,0.10111429439907307,0.10203587227727805,0.1031043245876989,0.10432206576688202,0.105691053202317,0.10721274440127061,0.10888888651604062
molec-biol-splice,0.019844575313143327,0.019915474857368665,0.020009472251151423,0.020130588215719954,0.020283410199672995,0.020473074598167783,0.020705213849255596,0.020985916875083888,0.046497133778750234,0.02132155488130072,0.02171857082061205,0.022183226056356132,0.022721347324018933,0.023337882360634374,0.02403672216625371,0.024820302244225136,0.025689579480350055
monks-1,0.03454863910603795,0.03458481203961557,0.034641373515448694,0.03471970803079862,0.03482102689431234,0.03494657287005514,0.03509732431532815,0.035274117689458075,0.05105875724431573,0.03547761053920982,0.03570834223206219,0.03596710871218118,0.036255584843633976,0.036577546459573396,0.03694065493030814,0.03735932739056957,0.03785792675753312
monks-2,0.06198307624844986,0.061175507033985416,0.06035943224212595,0.059534415322399815,0.05870030184516446,0.05785722442518568,0.05700555791213922,0.05614595250400319,0.17832547129525675,0.05527949874427132,0.05440758560286117,0.05353210974457167,0.05265543141826587,0.05178049399361514,0.05091098282954286,0.05005132724403567,0.04920691450256093
monks-3,0.03046675586036516,0.030598872922711903,0.03074576918426225,0.030909482551267877,0.03109236107648373,0.031297290290713424,0.031527817639318605,0.03178827891558926,0.06126417915450662,0.032084009537020085,0.03242147276339986,0.03280870121524579,0.03325518376899588,0.033772329878815184,0.03437340126198181,0.03507340591221436,0.03588889170374128
mushroom,0.0013804184464059873,0.001382628023605559,0.0013848459022633656,0.0013870689331374475,0.0013892984612461333,0.0013915347260556694,0.0013937768478862454,0.0013960268921241429,9.755611080864397E-5,0.0013982830178740466,0.0014005450152196218,0.001402816623065879,0.0014050918427621192,0.001407373930187251,0.0014096612968129633,0.0014119582972079636,0.0014142643935070687
musk-1,0.07163248599799037,0.07154614342737915,0.07148133855148596,0.071438735284198,0.07141902680218082,0.07142304748558503,0.07145141404849781,0.07150504544216918,0.15501720034514962,0.07158439307232317,0.07169044494399117,0.07182373922570053,0.07198515955422177,0.07217536299829305,0.07239519024654871,0.07264556007770884,0.07292720589106902
musk-2,0.008838793958654759,0.008821193281420642,0.008803938162317598,0.008787038134711584,0.008770473982130593,0.008754239349506986,0.008738364258162337,0.008722828539425484,0.015092502800193232,0.008707654432794488,0.008692818966786798,0.008678337455270375,0.00866421451317697,0.008650434567954541,0.008637021002712662,0.008623967194125432,0.008611277837885373
